번호,영단어,뜻
145,wise,현명한
146,hungry,배고픈
147,fine,"훌륭한, 벌금"
148,pretty,"예뿐, 매우"
149,still,"여전히, 정지한"
150,later,나중에
151,environment,환경
152,pollution,"오염, 공해"
153,lake,호수
154,desert,"사막, 버리다"
155,insect,곤충
156,accident,"사건, 사고, 우연"
157,college,대학
158,exam,시험
159,advice,충고
160,hobby,취미
161,form,"형태, 형성하다"
162,mark,"표시, 기록"
163,board,"판자, 탑승하다"
164,post,게시하다
165,laugh,"웃다, 비웃다"
166,excuse,"변명, 용서"
167,pass,"지나가다, 통과하다"
168,drive,운전하다
169,receive,"받다, 수령하다"
170,kill,죽이다
171,climb,"오르다, 등산하다"
172,add,"더하다, 추가하다"
173,fat,"뚱뚱한, 지방"
174,dark,어두운
175,whole,전체의
176,afraid,"두려운, 유감의"
177,physical,물리적인
178,dangerous,위험한
179,off,"떨어져, 끊어져"
180,over,"~위에, ~이상"
181,sense,"감각, 감지하다"
182,pleasure,"기쁨, 즐거움"
183,image,"영상, 이미지"
184,map,지도
185,project,"계획, 영사하다"
186,traffic,교통
187,safety,안전
188,spaceship,우주선
189,rainbow,무지개
190,million,백만
191,model,"모범, 모형"
192,type,유형
193,block,"막다, 차단하다"
194,seat,앉히다
195,touch,"만지다, 감동시키다"
196,wonder,의아해하다
197,magic,"마법의, 마술"
198,secret,"비밀, 비결"
199,general,"일반적인, 장군"
200,prepare,준비하다
201,imagine,상상하다
202,forget,잊다
203,develop,"발전하다, 계발하다"
204,recycle,재활용하다
205,several,몇몇의
206,funny,재미있는
207,safe,"안전한, 금고"
208,enough,충분한
209,loud,"큰, 시끄러운"
210,far,"먼, 멀리 떨어진"
211,library,"도서관, 서재"
212,museum,박물관
213,ocean,"바다, 대양"
214,bone,뼈
215,bath,목욕하다
216,pity,유감
217,proverb,속담
218,product,제품
219,invention,발명
220,technology,기술
221,trash,쓰레기
222,moment,순간
223,date,날짜
224,taste,맛이 나다
225,balance,균형
226,ring,울리다
227,share,"나누다, 공유하다"
228,return,"돌아오다, 반납하다"
229,lift,들어 올리다
230,raise,"올리다, 기르다"
231,explain,설명하다
232,marry,결혼하다
233,exciting,흥미로운
234,common,"공통의, 흔한"
235,global,세계의
236,regular,규칙적인
237,serious,"심각한, 진지한"
238,fresh,신선한
239,probably,아마도
240,else,그 밖의
241,bridge,"다리, 연결하다"
242,ghost,유령
243,scene,장면
244,effort,노력
245,wisdom,지혜
246,fault,"실수, 잘못"
247,flight,"비행, 비행하다"
248,zoo,동물원
249,candle,"초, 양초"
250,bottom,바닥
251,mistake,실수
252,trouble,"문제, 골칫거리"
253,bat,"방망이, 치다"
254,blow,"불다, 타격하다"
255,flood,"넘쳐흐르다, 홍수"
256,hurry,서두르다
257,treat,"다루다, 대접하다"
258,express,표현하다
259,breathe,호흡하다
260,hate,미워하다
261,create,"창조하다, 만들다"
262,divide,"나누다, 분할하다"
263,soft,부드러운
264,empty,"텅 빈, 비우다"
265,perfect,완벽한
266,successful,성공적인
267,everyday,매일
268,low,낮은
269,alone,혼자
270,inside,"내부, 내부의"
271,hometown,고향
272,yard,"마당, 뜰"
273,grocery,식료품
274,fairy,요정
275,flag,깃발
276,manner,"방법, 예절"
277,noise,소음
278,pain,고통
279,danger,위험
280,guide,안내하다
281,coach,코치
282,note,"기록, 음표, 주목"
283,count,"셈하다, 중요하다"
284,sail,항해하다
285,promise,약속하다
286,repeat,반복하다
287,bake,굽다
288,gather,모으다
289,succeed,"성공하다, 계승하다"
290,protect,보호하다
291,advertise,광고하다
292,disappear,사라지다
293,electric,"전기의, 전자의"
294,lovely,사랑스러운
295,thin,"마른, 가는"
296,round,둥근
297,deep,깊은
298,wide,넓은
299,yet,아직
300,quickly,빠르게
301,action,"행동, 조치"
302,talent,재능
303,choice,선택
304,slave,노예
305,situation,상황
306,pride,자부심
307,tip,"조언, 끝부분"
308,stair,계단
309,soil,"흙, 토양"
310,master,"주인, 숙달하다"
311,suit,"소송, 적합하다"
312,notice,알아채다
313,bow,절하다
314,rush,돌진하다
315,adult,성인
316,principal,"주요한, 교장"
317,folk,"사람들, 평민"
318,material,물질적인
319,standard,"기준, 표준"
320,stiff,뻣뻣한
321,accept,받아들이다
322,obey,복종하다
323,hide,숨기다
324,basic,기본적인
325,local,지역의
326,boring,지루한
327,weak,약한
328,quick,빠른
329,easily,쉽게
330,abroad,"외국에, 해외로"
331,host,"주인, 진행자"
332,athlete,운동선수
333,audience,"청중, 관객"
334,temperature,온도
335,cell,"세포, 전지"
336,transportation,"운송, 수송"
337,bowl,그릇
338,brick,벽돌
339,planet,행성
340,tail,꼬리
341,wing,날개
342,purpose,"목적, 용도"
343,decision,결정
344,frighten,깜짝 놀란
345,scare,두렵게 하다
346,slip,미끄러지다
347,melt,녹다
348,pollute,오염시키다
349,affect,영향을 주다
350,depend,의지하다
351,manage,관리하다
352,fit,"적당한, 건강한"
353,correct,수정하다
354,surprising,놀라운
355,active,"활동적인, 적극적인"
356,colorful,화려한
357,wet,젖은
358,wild,야생의
359,daily,매일의
360,straight,"곧은, 직선의"
361,wood,"나무, 목재"
362,cave,동굴
363,tomb,무덤
364,tool,도구
365,satellite,인공위성
366,communication,의사소통
367,wealth,"부, 재산"
368,attention,관심
369,miracle,기적
370,stream,"시내, 냇물"
371,wave,"파도, 파장"
372,value,"가치, 귀중히 여기다"
373,beat,물리치다
374,support,지지(지탱)하다
375,chemical,화학의
376,female,여성의
377,fair,공정한
378,respond,반응(응답)하다
379,deliver,전달(배달)하다
380,fold,접다
381,include,포함하다
382,earn,"벌다, 얻다"
383,bet,"내기하다, 단언하다"
384,calm,"고요한, 침착한"
385,direct,"지시하다, 직접적인"
386,sweet,달콤한
387,thick,두꺼운
388,abstract,추상적인
389,someday,어느 날
390,nowadays,요즘
391,captain,"선장, 주장"
392,stranger,낯선 사람
393,statue,동상
394,spirit,정신
395,scenery,"배경, 풍경"
396,gesture,몸짓
397,pole,기둥
398,rubber,고무
399,structure,구조
400,root,뿌리
401,schedule,일정
402,tour,관광하다
403,charge,"충전하다, 부과하다"
404,decrease,줄어들다
405,review,복습하다
406,vote,투표하다
407,attend,참석하다
408,discuss,토론하다
409,settle,정착하다
410,elect,선거하다
411,achieve,이루다
412,appreciate,"감사하다, 인정하다"
413,brave,용감한
414,cheap,값싼
415,classical,고전의
416,familiar,친숙한
417,unknown,미지의
418,uncomfortable,불편한
419,simply,단순히
420,anyway,어쨌든
421,government,정부
422,stomach,"위, 위장"
423,flour,밀가루
424,doll,인형
425,cyberspace,우주공간
426,strength,"힘, 체력"
427,will,"~할 것이다, 유언장"
428,development,"발전, 개발"
429,engineering,공학
430,edge,"가장자리, 우세"
431,pattern,"모범, 모형, 양식"
432,alarm,"경보, 경계"
433,dot,점
434,cost,비용
435,focus,"초점, 집중"
436,shock,충격을 주다
437,reward,보답(보상)하다
438,impress,인상을 주다
439,replace,교체(대체)하다
440,fail,실패하다
441,skip,건너뛰다
442,necessary,필수적인
443,elementary,"기본의, 초등의"
444,fantastic,환상적인
445,tasty,맛있는
446,flat,평평한
447,tough,"거친, 강인한"
448,outstanding,탁월한
449,forward,앞으로
450,badly,"심하게, 나쁘게"
451,heaven,"하늘, 천국"
452,tenant,세입자
453,helicopter,헬리콥터
454,sand,모래
455,castle,성
456,kindness,친절
457,concentration,"집중, 농도"
458,mystery,불가사의
459,battle,"전투, 싸우다"
460,industry,산업
461,chat,잡담하다
462,puzzle,당혹하게 하다
463,bloom,"꽃, 개화하다"
464,advance,진보
465,graduate,졸업하다
466,predict,예측(예언)하다
467,compare,비교하다
468,complain,불평하다
469,forgive,용서하다
470,determine,결정하다
471,exist,존재하다
472,holy,신성한
473,upper,위쪽의
474,central,중심의
475,normal,"정상적인, 평범한"
476,similar,비슷한
477,honest,정직한
478,ashamed,부끄러운
479,anymore,"이제는, 더 이상"
480,besides,"게다가, 더욱이"
481,ancestor,조상
482,chairperson,의장
483,customer,"손님, 고객"
484,astronaut,우주비행사
485,dynasty,왕조
486,furniture,가구
487,drug,약
488,greenhouse,온실
489,harmony,조화
490,dirt,먼지
491,shot,주사
492,curve,"휘어진, 굴곡진"
493,stuff,"물건, 속을 채우다"
494,pack,"싸다, 포장하다"
495,spill,"쏟다, 엎지르다"
496,debate,"토론, 토론하다"
497,whisper,속삭이다
498,lay,"눕히다, ~에 두다"
499,pardon,"용서, 용서하다"
500,beg,간청(구걸)하다
501,relate,관련시키다
502,intelligent,지적인
503,eager,열망하는
504,disabled,불구의
505,homeless,집 없는
506,harmful,해로운
507,lifelong,평생에 걸친
508,nervous,초조한
509,seldom,거의 ~아닌
510,somewhere,어딘가
511,thief,도둑
512,lifetime,일생
513,career,"직업, 경력"
514,fitness,"건강, 적당"
515,economy,경제
516,fur,"모피, 털"
517,engine,엔진
518,balloon,풍선
519,border,"국경, 경계"
520,disaster,재앙
521,forecast,예상(예보)하다
522,quarrel,"싸움, 다툼"
523,harm,해를 입히다
524,glue,접착제
525,regard,간주하다
526,sink,가라앉다
527,characteristic,"특성 있는, 특성"
528,professional,전문적인
529,encourage,격려하다
530,reflect,반사(반영)하다
531,slide,미끄러지다
532,stretch,쭉 뻗다
533,steal,훔치다
534,comic,"희극의, 만화의"
535,anxious,"걱정하는, 열망하는"
536,asleep,잠든
537,effective,효과적인
538,due to,~때문에
539,actually,실제로
540,rather,"오히려, 다소"
541,agent,"대리, 대행"
542,politics,정치학
543,reality,현실
544,relationship,관계
545,role,역할
546,theater,극장
547,performance,"실적, 공연"
548,cast,던지다
549,reservation,"예약, 보류"
550,sightseeing,관광
551,path,"길, 통로"
552,source,"자원, 근원"
553,proof,증거
554,term,"용어, 기간"
555,net,그물
556,trust,신뢰하다
557,crash,충돌하다
558,hatch,부화하다
559,clap,박수치다
560,announce,"알리다, 고지하다"
561,represent,"나타내다, 대표하다"
562,devote,"바치다, 헌신하다"
563,peaceful,평화로운
564,painful,고통스러운
565,sharp,날카로운
566,responsible,책임감이 있는
567,lazy,게으른
568,likely,가능성이 있는
569,completely,"완벽히, 완전히"
570,immediately,즉시
571,landscape,"풍경, 경치"
572,construction,건설
573,mood,"기분, 감정"
574,excitement,"흥분, 흥미"
575,complaint,불평
576,confidence,자신감
577,invasion,"침입, 침략"
578,container,"용기, 그릇"
579,ash,재
580,bar,"방망이, 빗장"
581,contact,접촉하다
582,benefit,"이익, 이득"
583,damage,"피해, 손해"
584,supply,공급하다
585,demand,요구하다
586,lack,"부족, 부족하다"
587,conflict,갈등
588,spin,회전하다
589,scratch,"긁다, 할퀴다"
590,suppose,가정하다
591,refer,참고하다
592,ruin,"파멸, 폐허"
593,rid,제거하다
594,tight,"꼭 끼는, 빈틈없는"
595,brilliant,"훌륭한, 총명한"
596,specific,구체적인
597,unusual,"유별난, 비범한"
598,negative,부정적인
599,royal,왕족의
600,partly,부분적으로
601,merchant,상인
602,heritage,유산
603,organization,"조직, 기관"
604,kindergarten,유치원
605,management,"관리, 경영"
606,operation,"수술, 운영, 작동"
607,mission,임무
608,means,"수단, 방법"
609,payment,지불
610,merit,"가치, 장점"
611,mirror,거울
612,ladder,사다리
613,ingredient,재료
614,index,"지침, 색인, 검지"
615,behave,행동하다
616,compete,경쟁하다
617,argue,"주장하다, 논쟁하다"
618,release,"놓아주다, 배출하다"
619,pretend,~인 체하다
620,conclude,결론짓다
621,observe,"관찰하다, 준수하다"
622,spicy,"짜릿한, 통쾌한"
623,terrific,"멋진, 빼어난"
624,steady,꾸준한
625,spare,"아끼다, 여분의"
626,unique,독특한
627,unnecessary,불필요한
628,ill,아픈
629,underground,"지하, 지하의"
630,sincerely,진심으로
631,wildlife,야생
632,sunset,"일몰, 해넘이"
633,horizon,"지평선, 수평선"
634,steam,증기
635,warmth,"온기, 따뜻함"
636,statement,"진술, 문장"
637,response,반응(대응)하다
638,task,과제
639,security,"안전, 보안"
640,needle,바늘
641,branch,"가지, 분점"
642,thread,실
643,row,"줄, 열"
644,yawn,하품하다
645,rub,문지르다
646,wipe,닦다
647,operate,"운영하다, 수술하다"
648,contain,"담다, 포함하다"
649,preserve,"보존하다, 예약하다"
650,refuse,거절하다
651,remind,상기시키다
652,bother,괴롭히다
653,tiny,미세한
654,curly,곱슬머리의
655,rapid,빠른
656,shy,수줍은
657,eastern,동쪽의
658,violent,폭력적인
659,worldwide,세계적인
660,highly,매우
661,lung,폐
662,passport,여권
663,photo,사진
664,envelope,봉투
665,attendant,"수행원, 참석자"
666,appointment,약속
667,midnight,자정
668,skyscraper,고층건물
669,chimney,굴
670,fence,울타리
671,evidence,증거
672,feature,"특징, 주연시키다"
673,flavor,"맛, 맛을 내다"
674,leap,도약하다
675,leak,새어나오다
676,scream,비명을 지르다
677,refresh,충전하다
678,occur,일어나다
679,obtain,얻다
680,intend,의도하다
681,lower,낮추다
682,lean,기대다
683,equal,"같은, 평등한"
684,separate,분리하다
685,hard-working,열심히 일하는
686,hopeless,희망 없는
687,various,다양한
688,raw,날것의
689,portable,휴대할 수 있는
690,rarely,거의 ~아닌
691,novel,"소설, 참신한"
692,grave,"무덤, 암울한"
693,crime,범죄
694,prison,"감옥, 감금하다"
695,blanket,"담요, 덮다"
696,skin,피부
697,instance,"예, 사례"
698,element,"요소, 성분"
699,dozen,12개
700,honesty,정직
701,duty,의무
702,failure,실패
703,rate,비율
704,progress,"진행, 진보"
705,trade,거래하다
706,doubt,"의심, 의심하다"
707,march,행진하다
708,delay,지연시키다
709,satisfy,만족시키다
710,misunderstand,오해하다
711,scold,꾸짖다
712,apply,적용하다
713,drown,익사하다
714,broad,"넓은, 광범위한"
715,cruel,잔인한
716,private,사적인
717,urgent,"긴급한, 급박한"
718,military,"군, 군의"
719,historical,역사적인
720,fully,"충분히, 완전히"
721,citizen,시민
722,fare,"요금, 운임"
723,tale,"이야기, 설화"
724,suggestion,"제안, 시사"
725,responsibility,"책임, 책임감"
726,risk,위험
727,intelligence,지능
728,viewpoint,관점
729,scissors,가위
730,shell,껍질
731,surface,"표면, 떠오르다"
732,version,"판, 버전"
733,account,"계산, 계좌"
734,influence,영향을 주다
735,fasten,"묶다, 조이다"
736,manufacture,제조하다
737,hire,고용하다
738,examine,시험하다
739,explode,폭발하다
740,erase,지우다
741,interrupt,"가로막다, 중단하다"
742,deny,부인하다
743,former,이전의
744,clever,"영리한, 영악한"
745,distant,거리
746,faint,"희미한, 기절한"
747,double,두 배의
748,entire,전체의
749,frequent,빈번한
750,possibly,아마도
751,client,고객
752,clown,광대
753,immigrant,"이주자, 이민자"
754,dragon,용
755,nail,"손톱, 못"
756,baggage,"짐, 수화물"
757,label,라벨을 붙이다
758,coal,석탄
759,bubble,거품
760,bug,"벌레, 곤충"
761,dawn,새벽
762,detail,세부사항
763,plenty,많은
764,delight,"기쁨, 즐거움"
765,dispute,논쟁(반박)하다
766,flame,"불꽃, 화염"
767,flash,"번쩍이다, 섬광"
768,regret,후회하다
769,bless,축복하다
770,spell,철자를 쓰다
771,surround,둘러싸다
772,swear,맹세하다
773,wander,"헤매다, 방랑하다"
774,generous,관대한
775,grateful,감사하는
776,instant,즉각적인
777,medium,"중간, 매체"
778,needy,"가난한, 어려운"
779,illegal,불법적인
780,either,"또한, 역시"
781,appetite,식욕
782,beast,짐승
783,palm,손바닥
784,lab,"연구실, 실험실"
785,institute,교육기관
786,journalism,언론
787,outline,"개요, 윤곽"
788,crosswalk,교차로
789,lyrics,가사
790,charm,"매력, 주문"
791,force,"힘, 동력"
792,function,"기능, 기능하다"
793,contrast,"대조, 대비"
794,assist,"돕다, 지원하다"
795,employ,고용(사용)하다
796,govern,통치(지배)하다
797,entertain,즐겁게 하다
798,criticize,비판하다
799,indicate,가리키다
800,react,반응하다
801,dare,감히 ~하다
802,obvious,"명백한, 뻔한"
803,satisfactory,만족
804,confident,자신감 있는
805,proper,적절한
806,typical,전형적인
807,outer,외부의
808,extracurricular,과외의
809,underwater,수중의
810,fairly,"공정히, 꽤, 상당히"
811,anniversary,기념일
812,nutrient,영양분
813,grain,곡물
814,document,문서
815,license,"면허, 면허증"
816,blackboard,칠판
817,chalk,분필
818,department,부서
819,fortune,"운, 큰 재산"
820,resource,자원
821,hunger,"배고픔, 굶주림"
822,error,"오류, 실수"
823,jail,감옥
824,protein,단백질
825,request,"요청, 요청하다"
826,bomb,폭탄
827,poison,독
828,wound,"상처, 부상"
829,chase,"쫓다, 추적하다"
830,afford,~할 여유가 있다
831,absorb,흡수하다
832,attach,부착(첨부)하다
833,cooperate,협력하다
834,defend,방어하다
835,be aware of,~를 인식하다
836,precious,귀중한
837,political,정치적인
838,nuclear,"핵의, 원자력의"
839,indoor,실내의
840,aloud,크게
841,democracy,민주주의
842,justice,정의
843,faith,신념
844,glory,영광
845,apology,사과(사죄)하다
846,crisis,위기
847,debt,"빚, 채무"
848,gap,"차이, 간격"
849,angle,"각도, 관점"
850,theory,이론
851,nest,둥지
852,labor,"노동, 노력"
853,remark,비평하다
854,comfort,"편리, 편안"
855,approach,"접근하다, 접근방식"
856,struggle,"애쓰다, 노력하다"
857,content,내용
858,acid,산
859,differ,다르다
860,deserve,~해 마땅하다
861,permit,허가하다
862,forbid,금지하다
863,reject,거부하다
864,pure,순수한
865,dumb,"벙어리의, 우둔한"
866,slight,약간의
867,particular,특별한
868,financial,재정의
869,be fond of,~를 좋아하다
870,aboard,배(비행기)에 탄
871,pupil,"제자, 동공"
872,servant,"하인, 시종"
873,profession,"직업, 선언"
874,occupation,"직업, 거주"
875,surgery,수술
876,instruction,"지시, 교육"
877,principle,"원리, 원칙"
878,revolution,혁명
879,authority,"권위, 공공기관"
880,rank,"등급, 평가하다"
881,property,재산
882,advantage,"유리, 이익"
883,affair,"일, 사건"
884,occasion,"경우, 근거"
885,propose,제안하다
886,approve,승인하다
887,admit,인정하다
888,conduct,지휘(실행)하다
889,reserve,보존(예약)하다
890,reveal,드러내다
891,extend,확장하다
892,involve,포함하다
893,definite,"뚜렷한, 명백한"
894,significant,"중요한, 상당한"
895,vital,"생명의, 중대한"
896,extreme,극단적인
897,academic,학구적인
898,guilty,유죄의
899,conscious,의식적인
900,generally,일반적으로
901,clothes,"천, 옷감"
902,movie,영화
903,activity,활동
904,example,"예, 사례"
905,dialogue,대화
906,letter,편지
907,fire,"불, 해고하다"
908,minute,분
909,part,"부분, 일부"
910,plan,계획
911,plant,"식물, 심다"
912,park,"공원, 주차하다"
913,call,"부르다, 전화하다"
914,try,노력하다
915,need,필요로 하다
916,keep,"지키다, 유지하다"
917,listen,듣다
918,find,"찾다, 발견하다"
919,learn,배우다
920,live,살다
921,mean,의미하다
922,last,지속하다
923,any,어떤
924,each,각각의
925,other,다른
926,another,또 다른
927,same,같은
928,too,"또한, 너무"
929,also,또한
930,really,정말로
931,nature,"자연, 본성"
932,state,"상태, 진술하다"
933,island,섬
934,group,"무리, 무리 짓다"
935,soldier,군인
936,habit,습관
937,culture,문화
938,history,역사
939,information,정보
940,advertisement,광고
941,science,과학
942,war,전쟁
943,store,"상점, 저장하다"
944,sound,"소리, 들리다"
945,point,"핵심, 가리키다"
946,land,착륙하다
947,turn,"차례, 회전하다"
948,fly,"날다, 파리"
949,begin,시작하다
950,grow,자라다
951,believe,믿다
952,worry,걱정하다
953,save,"구하다, 저장하다"
954,please,만족시키다
955,easy,쉬운
956,poor,"가난한, 어설픈"
957,such,"그러한, 그렇게"
958,just,"단지, 정당한"
959,back,"뒤, 등"
960,always,항상
961,neighbor,"이웃, 동네"
962,pet,애완동물
963,bottle,병
964,art,"예술, 기술"
965,poem,시
966,subject,"과목, 주제"
967,weekend,주말
968,price,왕자
969,custom,관습
970,fact,사실
971,rule,"규칙, 통치하다"
972,break,"깨다, 휴식"
973,check,확인하다
974,stay,머물다
975,bring,가져오다
976,build,"짓다, 축적하다"
977,join,합류하다
978,lose,"지다, 길을 잃다"
979,die,죽다
980,half,절반의
981,few,거의 없는
982,both,둘 다
983,sick,아픈
984,busy,바쁜
985,real,"실제의, 진정한"
986,wrong,잘못된
987,most,대부분의
988,late,늦은
989,together,함께
990,even,"심지어, 평평한"
991,brain,두뇌
992,voice,목소리
993,opinion,의견
994,age,"나이, 노화"
995,century,"세기, 100년"
996,event,"사건, 행사"
997,dish,"접시, 요리"
998,toy,"장난감, 장난치다"
999,subway,지하철
1000,hundred,백(100)
1001,thousand,"천(1,000)"
1002,rest,"쉬다, 나머지"
1003,waste,"낭비하다, 쓰레기"
1004,surprise,놀라게 하다
1005,bear,"견디다, 낳다"
1006,fight,싸우다
1007,buy,"사다, 구매하다"
1008,sell,"팔다, 팔리다"
1009,follow,"따르다, 추적하다"
1010,miss,"놓치다, 그리워하다"
1011,close,"가까운, 닫다"
1012,free,"자유로운, 무료의"
1013,upset,언짢은
1014,healthy,건강한
1015,delicious,맛있는
1016,sad,슬픈
1017,careful,주의 깊은
1018,ready,준비 된
1019,away,"멀리, 떨어진"
1020,however,하지만
1021,teenager,십대
1022,arm,"팔, 무기, 무장하다"
1023,skill,기술
1024,factory,공장
1025,prize,"상, 상을 주다"
1026,chance,"기회, 가능성"
1027,shape,"모양, 형태"
1028,difference,"차이, 차별"
1029,wall,벽
1030,contest,경연
1031,race,"경주, 인종"
1032,smell,냄새가 나다
1033,interest,흥미롭게 하다
1034,judge,판단하다
1035,cause,"원인, 유발하다"
1036,cover,"덮다, 다루다"
1037,travel,"여행하다, 이동하다"
1038,guess,추측하다
1039,finish,끝마치다
1040,wash,닦다
1041,introduce,"소개하다, 도입하다"
1042,hurt,상처를 주다(받다)
1043,tired,피곤한
1044,proud,"거만한, 당당한"
1045,dirty,더러운
1046,angry,화난
1047,modern,현대의
1048,useful,유용한
1049,soon,곧
1050,once,"한때, 일단 ~하면"
1051,clerk,점원
1052,foot,발
1053,company,"회사, 교제"
1054,garage,차고
1055,palace,왕궁
1056,hole,구멍
1057,bill,"지폐, 계산서, 법안"
1058,seed,씨앗
1059,medicine,"약, 의학"
1060,luck,"운, 행운"
1061,meaning,의미
1062,volunteer,자원하다
1063,view,"보다, 견해"
1064,lie,"눕다, ~에 있다"
1065,act,행동하다
1066,pay,지불하다
1067,shout,외치다
1068,cross,교차하다
1069,seem,보이다
1070,invite,초대하다
1071,arrive,도착하다
1072,collect,"모으다, 수집하다"
1073,rich,부유한
1074,blind,눈이 먼
1075,heavy,무거운
1076,terrible,끔찍한
1077,strange,"이상한, 낯선"
1078,possible,가능한
1079,maybe,아마도
1080,ago,~전에
1081,truth,진실
1082,success,성공
1083,friendship,우정
1084,being,존재
1085,goods,상품
1086,coin,동전
1087,bank,"은행, 둑, 제방"
1088,address,"주소, 연설하다"
1089,electricity,전기
1090,law,법
1091,campaign,"군사행동, 유세"
1092,sentence,"문장, 판결하다"
1093,heat,"열, 가열하다"
1094,circle,원
1095,reach,도착하다
1096,mix,"섞다, 혼합하다"
1097,excite,흥분시키다
1098,rise,오르다
1099,lead,이끌다
1100,enter,들어가다
1101,fill,채우다
1102,produce,생산하다
1103,cool,"시원한, 식히다"
1104,slow,"느린, 더딘"
1105,clear,"깨끗한, 분명한"
1106,FALSE,거짓의
1107,national,국가의
1108,main,주요한
1109,almost,거의
1110,finally,"마침내, 결국"
1111,peace,평화
1112,beauty,아름다움
1113,sight,"시각, 시력, 견해"
1114,nation,국가
1115,foreigner,외국인
1116,lend,빌리다
1117,magazine,잡지
1118,storm,폭풍
1119,straw,"빨대, 지푸라기"
1120,disease,질병
1121,respect,존중하다
1122,reply,대답하다
1123,record,기록하다
1124,cheer,응원하다
1125,shake,흔들다
1126,key,"열쇠, 핵심"
1127,square,사각형
1128,wake,깨어나다
1129,discover,발견하다
1130,solve,"풀다, 해결하다"
1131,continue,계속하다
1132,burn,"타다, 태우다"
1133,simple,"간단한, 검소한"
1134,quiet,조용한
1135,traditional,전통적인
1136,international,국제적인
1137,huge,"거대한, 엄청난"
1138,amazing,놀라운
1139,instead,대신에
1140,suddenly,갑자기
1141,creature,"생물, 생명체"
1142,police,경찰
1143,army,군인
1144,society,사회
1145,fan,"애호가, 부채"
1146,wheel,바퀴
1147,pair,"쌍, 짝"
1148,joy,즐거움
1149,memory,"기억, 기억력"
1150,recipe,조리법
1151,kid,아이
1152,smoke,연기
1153,favor,"애호, 선호"
1154,trick,"속임수, 비결"
1155,experiment,실험
1156,drop,"방울, 떨어뜨리다"
1157,press,"누르다, 압박하다"
1158,stick,"막대기, 찌르다"
1159,roll,구르다
1160,serve,제공하다
1161,improve,"개선하다, 나아지다"
1162,realize,"깨닫다, 실현하다"
